UKPRN,Name,SortOrder
10007773,Open University,1390
10007822,Cranfield University,330
10007777,Royal College of Art,1565
10007811,Bishop Grosseteste University,100
10000975,Buckinghamshire New University,200
10007816,Royal Central School of Speech and Drama,1560
10007848,University of Chester,280
10001143,Canterbury Christ Church University,240
10007713,York St John University,1930
10007823,Edge Hill University,450
10008640,Falmouth University,490
10040812,Harper Adams University,550
10003614,University of Winchester,1860
10003956,Liverpool Hope University,830
10007162,"University of the Arts, London",860
10007152,University of Bedfordshire,50
10007138,University of Northampton,1310
10007832,Newman University,1290
10007776,Roehampton University,1520
10005523,Rose Bruford College,1530
10007835,Royal Academy of Music,1540
10007778,Royal College of Music,1570
10007837,Royal Northern College of Music,1590
10006022,Southampton Solent University,1690
10007842,University of Cumbria,360
10007843,"St Mary's University, Twickenham",1630
10003863,Leeds Trinity University,790
10008017,Trinity Laban Conservatoire of Music and Dance,1770
10007139,University of Worcester,1890
10000291,Anglia Ruskin University,10
10000571,Bath Spa University,40
10006841,University of Bolton,110
10000824,Bournemouth University,130
10000886,University of Brighton,160
10007140,Birmingham City University,80
10007141,University of Central Lancashire,250
10007145,University of Gloucestershire,500
10001726,Coventry University,320
10007851,University of Derby,410
10007144,University of East London,440
10007146,University of Greenwich,520
10007147,University of Hertfordshire,560
10007148,University of Huddersfield,590
10007151,University of Lincoln,810
10003678,Kingston University,720
10003861,Leeds Beckett University,770
10003957,Liverpool John Moores University,840
10004180,Manchester Metropolitan University,1250
10004351,Middlesex University,1260
10001883,De Montfort University,400
10001282,University of Northumbria at Newcastle,1350
10004797,Nottingham Trent University,1380
10004930,Oxford Brookes University,1420
10007801,University of Plymouth,1430
10007155,University of Portsmouth,1450
10005790,Sheffield Hallam University,1670
10004078,London South Bank University,1190
10006299,Staffordshire University,1700
10007159,University of Sunderland,1720
10007161,Teesside University,1760
10006566,The University of West London,1810
10007164,"University of the West of England, Bristol",1800
10007137,University of Chichester,290
10007165,University of Westminster,1830
10007166,University of Wolverhampton,1880
10007833,Glynd?r University,7110
10007854,Cardiff Metropolitan University,7090
10007793,University of South Wales,7145
10007849,University of Abertay Dundee,6680
10002681,Glasgow School of Art,6790
10005337,Queen Margaret University Edinburgh,6820
10005561,Royal Conservatoire of Scotland,6840
10005500,Robert Gordon University,6830
10007800,University of the West of Scotland,6910
10007762,Glasgow Caledonian University,6780
10007772,Edinburgh Napier University,6750
10007759,Aston University,20
10007850,University of Bath,30
10006840,University of Birmingham,70
10007785,University of Bradford,140
10007786,University of Bristol,170
10000961,Brunel University London,180
10007788,University of Cambridge,220
10001478,City University London,300
10007143,University of Durham,420
10007789,University of East Anglia,430
10007791,University of Essex,470
10007792,University of Exeter,480
10007149,University of Hull,620
10007767,Keele University,660
10007150,University of Kent,670
10007768,Lancaster University,730
10007795,University of Leeds,750
10007796,University of Leicester,800
10006842,University of Liverpool,820
10007760,Birkbeck College,60
10002718,Goldsmiths' College,510
10003270,Imperial College London,630
10003645,King's College London,690
10007769,London Business School,1140
10004063,London School of Economics and Political Science,1150
10007771,London School of Hygiene & Tropical Medicine,1170
10007775,Queen Mary University of London,1460
10005553,"Royal Holloway, University of London",1580
10007779,Royal Veterinary College,1610
10007782,"St.George's, University of London",1620
10007780,School of Oriental and African Studies,1400
10007784,University College London,1080
10007812,University of London Institute in Paris,910
10004113,Loughborough University,1200
10007798,University of Manchester,1220
10007799,Newcastle University,1280
10007154,University of Nottingham,1370
10007774,University of Oxford,1410
10007802,University of Reading,1510
10007156,University of Salford,1640
10007157,University of Sheffield,1660
10007158,University of Southampton,1680
10007160,University of Surrey,1740
10007806,University of Sussex,1750
10007163,University of Warwick,1780
10007167,University of York,1920
10007790,University of Edinburgh,6730
10007794,University of Glasgow,6760
10007805,University of Strathclyde,6890
10007783,University of Aberdeen,6670
10007764,Heriot-Watt University,6800
10007852,University of Dundee,6720
10007803,University of St Andrews,6870
10007804,University of Stirling,6880
10005700,SRUC,6860
10007858,University of Wales Trinity Saint David,7205
10007856,Aberystwyth University,7060
10007857,Bangor University,7070
10007814,Cardiff University,7080
10007855,Swansea University,7150
10005343,Queen's University Belfast,7600
10007807,University of Ulster,7630
10008574,University of Wales,7190
10007657,Writtle College,1900
10004775,Norwich University of the Arts,1360
10003324,Institute of Cancer Research,230
10007761,Courtauld Institute of Art,310
10000385,Arts University Bournemouth,120
10007765,Heythrop College,570
ZZZZZZZZ,Institute of Zoology,2000
10005545,Royal Agricultural University,1550
10008010,Stranmillis University College,7620
10008026,St Mary's University College,7610
10007114,University of the Highlands and Islands,6805
10004048,London Metropolitan University,1180
10006427,University for the Creative Arts,340
10007825,Guildhall School of Music & Drama,540
10003958,Liverpool School of Tropical Medicine,855
