UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007759,11,,Environment,0,45,55,0,0
10007759,11,,Impact,40,60,0,0,0
10007759,11,,Outputs,11.8,41.1,47.1,0,0
10007759,11,,Overall,16,45,39,0,0
10007850,11,,Environment,10,90,0,0,0
10007850,11,,Impact,0,100,0,0,0
10007850,11,,Outputs,15.2,56.5,27.2,1.1,0
10007850,11,,Overall,11,71,17,1,0
10007152,11,,Environment,0,0,80,20,0
10007152,11,,Impact,0,50,40,10,0
10007152,11,,Outputs,8.3,34.8,49.6,7.3,0
10007152,11,,Overall,5,33,52,10,0
10007760,11,,Environment,0,35,50,15,0
10007760,11,,Impact,0,63.3,10,26.7,0
10007760,11,,Outputs,32.3,45.1,16.1,6.5,0
10007760,11,,Overall,21,47,20,12,0
10006840,11,,Environment,0,100,0,0,0
10006840,11,,Impact,52,48,0,0,0
10006840,11,,Outputs,28.7,49.6,19.8,0.6,1.3
10006840,11,,Overall,29,57,13,0,1
10007140,11,,Environment,0,0,40,60,0
10007140,11,,Impact,40,20,0,0,40
10007140,11,,Outputs,0,33.3,46.7,20,0
10007140,11,,Overall,8,26,36,22,8
10000886,11,,Environment,0,10,90,0,0
10000886,11,,Impact,20,80,0,0,0
10000886,11,,Outputs,3.1,43.8,43.7,9.4,0
10000886,11,,Overall,6,46,42,6,0
10007786,11,,Environment,25,75,0,0,0
10007786,11,,Impact,60,40,0,0,0
10007786,11,,Outputs,23.3,57.2,17.6,1.9,0
10007786,11,,Overall,31,56,12,1,0
10000961,11,,Environment,0,90,10,0,0
10000961,11,,Impact,10,40,20,30,0
10000961,11,,Outputs,23.1,40.1,34.2,2.6,0
10000961,11,,Overall,17,48,27,8,0
10007788,11,,Environment,45,55,0,0,0
10007788,11,,Impact,86.7,13.3,0,0,0
10007788,11,,Outputs,37,46.7,14.7,1.6,0
10007788,11,,Overall,48,41,10,1,0
10007848,11,,Environment,0,0,0,65,35
10007848,11,,Impact,0,0,0,20,80
10007848,11,,Outputs,0,7.1,64.3,28.6,0
10007848,11,,Overall,0,5,41,33,21
10001478,11,,Environment,0,40,60,0,0
10001478,11,,Impact,40,50,10,0,0
10001478,11,,Outputs,10.5,47.6,38.7,3.2,0
10001478,11,,Overall,15,47,36,2,0
10001726,11,,Environment,0,15,85,0,0
10001726,11,,Impact,10,90,0,0,0
10001726,11,,Outputs,5,25,65,5,0
10001726,11,,Overall,5,37,55,3,0
10001883,11,,Environment,0,65,35,0,0
10001883,11,,Impact,0,66.7,33.3,0,0
