UKPRN,UnitOfAssessment,MultipleSubmission,Identifier,LastName,Initials,Category,CategoryCExplanatoryText
10007759,11,,926294,Bencomo,N.,A,
10007759,11,,926295,Van Mourik,J.,A,
10007759,11,,926296,Bastin,L.,A,
10007759,11,,926297,Vogiatzis,G.,A,
10007759,11,,926298,Boukouvalas,A.,A,
10007759,11,,926299,Lumsden,J.,A,
10007759,11,,926300,Neirotti,J.,A,
10007759,11,,926301,Saad,D.,A,
10007759,11,,926302,Chli,M.,A,
10007759,11,,926303,Ekárt,A.,A,
10007759,11,,926304,Lewis,P.,A,
10007759,11,,926305,Rebollo-Neira,L.,A,
10007759,11,,926306,Lowe,D.,A,
10007759,11,,926307,He,Y.,A,
10007759,11,,926308,Zhuge,H.,A,
10007759,11,,926310,Cornford,D.,A,
10007759,11,,926311,Kone?ný,M.,A,
10007759,11,,926312,Little,M.,A,
10007759,11,,926313,Nabney,I.,A,
10007850,11,,978074,Proulx,M. J.,A,
10007850,11,,978075,Wyvill,B. L. M.,A,
10007850,11,,978076,Johnson,P.,A,
10007850,11,,978077,Hall,P. M.,A,
10007850,11,,978078,Payne,S. J.,A,
10007850,11,,978079,Heijltjes,W. B.,A,
10007850,11,,978080,McCusker,G. A.,A,
10007850,11,,978081,Brown,M.,A,
10007850,11,,978082,Bradford,R. J.,A,
10007850,11,,978083,Watts,L. A.,A,
10007850,11,,978084,Willis,P.,A,
10007850,11,,978085,Stanton Fraser,D. E. B.,A,
10007850,11,,978086,Vorobjov,N.,A,
10007850,11,,978087,Power,A. J.,A,
10007850,11,,978088,Bryson,J. J.,A,
10007850,11,,978089,De Vos,M.,A,
10007850,11,,978090,Laird,J. D.,A,
10007850,11,,978091,Krause,A.,A,
10007850,11,,978092,Guglielmi,A.,A,
10007850,11,,978093,Cosker,D. P.,A,
10007850,11,,978094,O'Neill,E. J.,A,
10007850,11,,978095,Johnson,H.,A,
10007850,11,,978096,Davenport,J. H.,A,
10007850,11,,978097,Padget,J. A.,A,
10007152,11,,10312,Clapworthy,G,A,
